Name,Pos,IP,SO,QS,W,SV,Hold,ERA,WHIP,Score,$
Bailey Ober,SP,118.2,116,11.0,6,0,0.0,3.41,1.121,0.6977142857142857,6.12
Michael Wacha,SP,96.0,85,9.0,10,0,0.0,2.63,1.073,0.6964285714285715,6.11
Andrew Heaney*,SP,122.1,127,7.0,9,0,0.0,4.34,1.357,0.6954285714285716,6.1
Aroldis Chapman*,RP,47.1,86,0.0,5,3,13.0,2.28,1.099,0.6937142857142857,6.09
Tyler Wells,SP,113.2,111,8.0,7,0,1.0,3.8,1.021,0.6865714285714287,6.03
Brady Singer,SP,139.1,119,9.0,8,0,0.0,5.04,1.364,0.6842857142857143,6.01
J.P. France,SP,110.1,83,12.0,9,0,0.0,3.51,1.305,0.6789999999999999,5.96
Adbert Alzolay,RP,57.2,61,0.0,1,20,7.0,2.65,0.971,0.6722857142857144,5.9
A.J. Minter*,RP,50.1,59,0.0,3,10,14.0,4.11,1.113,0.6688571428571429,5.87
Griffin Jax,RP,53.1,51,0.0,5,2,19.0,3.38,1.163,0.6688571428571428,5.87
Lucas Sims,RP,47.2,61,0.0,4,2,20.0,3.78,1.217,0.6667142857142857,5.85
Braxton Garrett*,SP,128.0,132,6.0,7,0,0.0,3.94,1.172,0.6617142857142858,5.81
Hunter Harvey,RP,46.1,52,0.0,3,9,15.0,2.72,0.928,0.6607142857142857,5.8
Austin Gomber*,SP,136.1,86,12.0,9,0,0.0,5.48,1.474,0.651,5.71
MacKenzie Gore*,SP,127.1,145,8.0,6,0,0.0,4.38,1.374,0.650857142857143,5.71
Caleb Ferguson*,RP,48.0,54,0.0,7,2,15.0,2.81,1.438,0.6485714285714287,5.69
Raisel Iglesias,RP,40.2,53,0.0,3,25,0.0,2.88,1.107,0.6482857142857144,5.69
Jhoan Duran,RP,50.1,69,0.0,2,23,1.0,2.68,1.172,0.6462857142857142,5.67
Jason Foley,RP,55.1,49,0.0,2,7,20.0,2.6,1.193,0.6457142857142858,5.67
Josh Hader*,RP,44.2,71,0.0,0,27,0.0,0.81,0.963,0.6405714285714286,5.62
Miguel Castro,RP,52.0,43,0.0,6,7,12.0,5.02,1.173,0.6391428571428571,5.61
