Name,PrimaryPos,AB,Z_R,Z_HR,Z_RBI,Z_SB,Z_BB,Z_AVG,Z_SLG,Score,$
Rob Refsnyder,OF,171,0.667,0.0,0.813,0.873,1.517,3.201,1.285,1.1937142857142857,4.17
Brenton Doyle,OF,287,1.232,0.913,0.966,2.121,0.849,1.42,0.748,1.1784285714285712,4.11
Freddy Fermin,C,186,0.769,1.043,1.119,0.0,0.243,2.779,2.236,1.169857142857143,4.08
Trevor Larnach*,OF,162,0.565,0.652,1.119,0.125,1.153,2.604,1.952,1.167142857142857,4.07
Brian Anderson,3B,312,1.283,1.173,1.424,0.0,1.881,1.266,1.14,1.1667142857142856,4.07
Garrett Cooper,1B,337,0.924,1.434,1.78,0.0,0.91,1.462,1.642,1.1645714285714284,4.07
Ji Hwan Bae*,2B,233,1.386,0.261,0.763,2.62,1.093,1.451,0.563,1.1624285714285716,4.06
Andrew Knizner,C,170,1.026,1.173,1.017,0.125,0.243,2.367,2.178,1.1612857142857143,4.05
Tyler O'Neill,OF,185,0.565,0.782,0.305,0.374,1.153,2.933,2.011,1.1604285714285716,4.05
Gabriel Moreno,C,255,0.769,0.522,1.424,0.499,0.607,2.943,1.33,1.1562857142857141,4.04
Javier Báez,SS,430,1.95,0.913,2.289,1.372,0.607,0.443,0.451,1.1464285714285716,4.0
Ramón Urías,3B,295,1.232,0.521,1.272,0.374,0.971,2.223,1.375,1.1382857142857143,3.97
Owen Miller,2B,288,0.821,0.652,1.017,1.622,0.607,2.089,1.095,1.129,3.94
Brice Turang*,2B,311,1.078,0.782,1.119,2.121,1.518,0.874,0.387,1.1255714285714284,3.93
Paul DeJong,SS,328,1.334,1.695,1.475,0.499,0.729,0.515,1.623,1.124285714285714,3.92
Jace Peterson*,3B,317,0.975,0.782,0.967,1.622,2.245,0.936,0.279,1.1151428571428572,3.89
Jace Peterson*,3B,281,0.924,0.782,0.814,1.372,1.881,1.245,0.694,1.1017142857142859,3.85
Mitch Garver,DH,187,0.821,1.173,0.915,0.0,1.093,1.842,1.854,1.0997142857142856,3.84
Evan Longoria,3B,166,0.616,1.434,0.611,0.0,0.728,1.862,2.43,1.0972857142857142,3.83
Travis d'Arnaud,C,196,0.923,1.043,1.119,0.0,0.607,2.11,1.862,1.0948571428571428,3.82
Anthony Rizzo*,1B,373,1.539,1.173,1.424,0.0,1.699,1.04,0.776,1.0929999999999997,3.82
Kyle Isbel*,OF,233,0.975,0.391,0.712,0.749,0.242,2.923,1.637,1.089857142857143,3.8
Josh Bell#,DH,347,0.872,1.304,1.678,0.0,2.246,0.782,0.708,1.0842857142857143,3.79
Ramón Laureano,OF,265,0.821,0.652,0.712,1.123,0.971,2.099,1.208,1.0837142857142859,3.78
Josh Rojas*,3B,240,1.232,0.261,1.119,1.123,0.971,1.904,0.933,1.0775714285714286,3.76
Dylan Carlson#,OF,219,0.77,0.522,0.864,0.374,1.274,2.47,1.226,1.0714285714285716,3.74
Matt Thaiss*,C,247,1.231,0.913,1.119,0.249,1.76,1.4,0.802,1.0677142857142858,3.73
Nick Madrigal,3B,206,0.872,0.261,0.56,1.123,0.242,2.789,1.578,1.0607142857142857,3.7
Patrick Bailey#,C,250,0.821,0.652,1.577,0.125,0.607,2.254,1.379,1.0592857142857142,3.7
Elvis Andrus,2B,301,0.975,0.652,1.424,1.372,0.971,1.338,0.671,1.0575714285714286,3.69
Ramón Laureano,OF,225,0.616,0.652,0.559,0.998,0.728,2.316,1.519,1.0554285714285714,3.68
Tom Murphy,C,145,0.615,0.913,0.458,0.0,0.243,2.707,2.426,1.0517142857142858,3.67
Zach Neto,SS,224,0.872,0.913,1.119,0.624,0.183,1.462,2.155,1.0468571428571427,3.65
Daniel Vogelbach*,DH,241,1.026,1.304,1.322,0.0,1.943,0.751,0.965,1.0444285714285715,3.65
Garrett Cooper,1B,305,0.667,1.303,1.679,0.0,0.607,1.472,1.574,1.0431428571428571,3.64
Kevin Newman,3B,225,0.821,0.391,0.814,0.998,0.728,2.192,1.352,1.0422857142857143,3.64
C.J. Cron,1B,254,1.18,1.173,1.221,0.0,0.607,1.359,1.732,1.038857142857143,3.63
Gavin Sheets*,OF,234,0.411,1.043,1.017,0.0,1.031,2.285,1.438,1.032142857142857,3.6
Kyle Farmer,2B,255,1.232,1.043,1.068,0.125,0.607,1.708,1.411,1.0277142857142858,3.59
Michael Massey*,2B,332,0.77,1.303,1.831,0.749,0.85,0.844,0.802,1.0212857142857141,3.57
Raimel Tapia*,OF,139,0.616,0.261,0.152,0.998,0.607,2.892,1.578,1.014857142857143,3.54
Jorge Polanco#,2B,201,0.36,1.043,1.119,0.374,0.911,1.564,1.713,1.012,3.53
Yasmani Grandal#,C,328,1.231,0.913,1.221,0.0,1.578,1.564,0.527,1.004857142857143,3.51
Edmundo Sosa,3B,219,0.821,1.043,0.611,0.249,0.0,2.243,2.051,1.0025714285714284,3.5
Miguel Vargas,2B,256,1.181,0.912,1.272,0.374,1.943,0.236,1.073,0.9987142857142857,3.49
Billy McKinney*,OF,128,0.359,0.652,0.203,0.125,0.728,2.871,2.011,0.9927142857142858,3.47
Pablo Reyes,SS,133,0.564,0.131,0.508,0.624,0.0,2.697,2.354,0.9825714285714285,3.43
Emmanuel Rivera,3B,221,1.026,0.521,0.611,0.125,0.607,2.501,1.474,0.9807142857142858,3.42
Henry Davis,OF,183,0.616,0.522,0.406,0.374,1.031,2.48,1.416,0.977857142857143,3.41
Andy Ibáñez,2B,266,1.027,1.173,0.966,0.0,0.304,1.626,1.74,0.9765714285714286,3.41
Garrett Hampson,OF,139,0.565,0.0,0.101,0.374,0.425,3.509,1.849,0.9747142857142858,3.4
Tyrone Taylor,OF,138,0.308,0.522,0.406,0.749,0.0,2.82,2.002,0.9724285714285713,3.39
Christian Bethancourt,C,264,1.744,0.913,0.966,0.0,0.425,1.575,1.159,0.9688571428571429,3.38
Tony Kemp*,2B,299,1.181,0.521,0.865,1.497,1.7,0.669,0.347,0.9685714285714285,3.38
Kevin Pillar,OF,144,0.411,0.652,0.508,0.374,0.06,2.768,1.979,0.9645714285714285,3.37
C.J. Cron,1B,208,0.821,1.043,0.967,0.0,0.364,1.524,2.021,0.9628571428571427,3.36
Oswaldo Cabrera#,OF,206,0.821,0.391,0.661,0.873,0.667,2.295,1.023,0.9615714285714285,3.36
Gio Urshela,3B,214,0.513,0.261,0.611,0.374,0.303,3.19,1.47,0.9602857142857142,3.35
Dominic Smith*,1B,430,1.488,0.391,1.068,0.125,1.76,1.832,0.055,0.9598571428571427,3.35
Mike Moustakas*,3B,168,0.462,1.043,0.712,0.0,0.0,2.326,2.164,0.958142857142857,3.34
Donovan Solano,1B,304,0.872,0.13,0.661,0.0,1.639,2.213,1.186,0.9572857142857144,3.34
Cavan Biggio*,2B,198,1.129,1.043,0.916,0.499,0.85,1.029,1.231,0.9567142857142856,3.34
Andruw Monasterio,3B,183,0.77,0.391,0.255,0.624,0.971,2.254,1.429,0.9562857142857144,3.34
Alex Kirilloff*,1B,226,0.462,0.652,0.967,0.0,1.093,1.771,1.723,0.9525714285714286,3.33
José Abreu,1B,428,1.437,0.912,2.238,0.0,1.457,0.546,0.0,0.9414285714285714,3.29
Mitch Haniger,OF,148,0.411,0.391,0.61,0.125,0.242,2.871,1.767,0.9167142857142857,3.2
Alejandro Kirk,C,283,0.821,0.652,1.119,0.0,1.396,1.904,0.523,0.9164285714285713,3.2
Joshua Palacios*,OF,164,0.205,0.652,0.763,0.249,0.121,2.449,1.821,0.8942857142857142,3.12
Brett Baty*,3B,278,1.078,0.912,0.763,0.249,1.335,1.121,0.798,0.8937142857142858,3.12
Kyle Higashioka,C,205,0.667,0.913,1.17,0.0,0.365,1.667,1.375,0.8795714285714286,3.07
Eduardo Escobar#,3B,217,0.872,0.652,0.712,0.249,0.607,1.677,1.325,0.8705714285714287,3.04
Luis Matos,OF,166,0.359,0.131,0.0,0.374,0.546,3.118,1.515,0.8632857142857143,3.01
Mike Ford*,DH,158,0.719,1.434,0.559,0.0,0.547,0.957,1.777,0.8561428571428572,2.99
Anthony Rendon,3B,148,0.565,0.261,0.509,0.249,1.214,1.924,1.24,0.8517142857142856,2.97
Oscar Colás*,OF,198,0.718,0.261,0.254,0.499,0.364,2.707,1.132,0.8478571428571428,2.96
Victor Caratini#,C,159,0.667,0.652,0.559,0.125,0.729,1.935,1.258,0.8464285714285714,2.95
Enrique Hernández,SS,297,1.231,0.652,1.17,0.374,0.789,0.803,0.902,0.8458571428571429,2.95
Vinnie Pasquantino*,1B,231,0.462,0.782,0.661,0.0,1.093,1.235,1.673,0.8437142857142857,2.95
Nick Maton*,3B,249,0.872,1.043,1.018,0.125,2.003,0.123,0.626,0.8300000000000001,2.9
Nick Pratto*,1B,261,0.821,0.521,0.916,0.125,1.335,0.968,0.965,0.8072857142857143,2.82
James McCann,C,151,0.615,0.391,0.661,0.374,0.0,2.038,1.546,0.8035714285714286,2.81
Tim Anderson,SS,380,1.283,0.0,0.712,1.497,0.789,1.328,0.0,0.8012857142857143,2.8
Joey Votto*,1B,170,0.257,1.303,1.017,0.0,0.789,0.443,1.795,0.8005714285714286,2.79
Rowdy Tellez*,1B,262,0.411,1.173,1.221,0.0,1.396,0.216,1.038,0.7792857142857145,2.72
Corey Dickerson*,OF,144,0.0,0.131,0.356,0.0,0.121,3.18,1.664,0.7788571428571428,2.72
Nicky Lopez*,2B,187,0.565,0.13,0.712,0.624,1.032,1.512,0.852,0.7752857142857144,2.71
Luke Maile,C,137,0.307,0.522,0.61,0.125,0.182,1.997,1.677,0.7742857142857142,2.7
Josh Rojas*,3B,189,0.565,0.0,0.712,0.749,0.789,1.677,0.865,0.7652857142857143,2.67
Ildemaro Vargas#,3B,184,0.565,0.521,0.662,0.0,0.303,1.811,1.411,0.7532857142857142,2.63
Rodolfo Castro#,2B,197,0.308,0.782,0.763,0.125,0.911,1.255,1.113,0.751,2.62
Zack Short,2B,183,0.0,0.652,1.068,0.374,0.789,1.214,1.154,0.7501428571428572,2.62
Jordan Diaz,2B,191,0.103,1.173,0.763,0.0,0.486,1.204,1.452,0.7401428571428571,2.58
Christian Vázquez,C,259,1.077,0.391,0.915,0.0,0.85,1.503,0.442,0.7397142857142857,2.58
Jason Delay,C,130,0.461,0.0,0.407,0.0,0.304,2.48,1.497,0.7355714285714285,2.57
Francisco Mejía#,C,150,0.769,0.522,0.559,0.0,0.0,1.76,1.519,0.7327142857142858,2.56
Brandon Crawford*,SS,242,0.667,0.652,1.221,0.374,0.789,0.278,1.136,0.731,2.55
Chad Wallach,C,134,0.513,0.782,0.254,0.0,0.425,1.554,1.555,0.7261428571428572,2.53
Miguel Rojas,SS,298,1.18,0.261,0.763,0.873,0.789,0.679,0.523,0.724,2.53
Rodolfo Castro#,2B,214,0.411,0.782,0.814,0.125,1.032,1.018,0.879,0.723,2.52
Jordan Westburg,2B,144,0.308,0.261,0.509,0.374,0.061,1.914,1.582,0.7155714285714285,2.5
Pavin Smith*,DH,184,0.872,0.782,0.763,0.125,1.578,0.278,0.56,0.7082857142857143,2.47
Yoán Moncada#,3B,233,0.513,0.521,0.509,0.125,0.425,1.667,1.154,0.702,2.45
Yuli Gurriel,1B,261,0.616,0.0,0.356,0.499,0.971,1.482,0.875,0.6855714285714286,2.39
Rougned Odor*,2B,138,0.411,0.521,0.559,0.249,0.668,1.039,1.289,0.6765714285714285,2.36
Reese McGuire*,C,138,0.307,0.0,0.305,0.125,0.122,2.48,1.388,0.6752857142857144,2.36
Christian Arroyo,2B,195,0.514,0.391,0.865,0.125,0.061,1.512,1.244,0.6731428571428572,2.35
Carlos Pérez,C,140,0.359,0.522,0.508,0.0,0.304,1.708,1.262,0.6661428571428571,2.33
Bo Naylor*,C,128,0.41,0.391,0.356,0.125,0.547,1.503,1.307,0.6627142857142856,2.31
Harold Castro*,2B,236,0.514,0.13,1.119,0.125,0.0,1.996,0.689,0.6532857142857142,2.28
Tucupita Marcano*,SS,202,0.102,0.261,0.508,0.624,0.061,1.318,1.673,0.6495714285714287,2.27
Alan Trejo,2B,166,0.154,0.261,0.661,0.499,0.304,1.543,1.118,0.6485714285714286,2.26
Oscar Gonzalez,OF,149,0.051,0.131,0.05,0.0,0.0,2.737,1.479,0.6354285714285715,2.22
Jean Segura,3B,301,0.667,0.391,0.458,0.749,1.031,1.142,0.0,0.6340000000000001,2.21
Martín Maldonado,C,289,0.923,1.173,0.915,0.0,1.093,0.0,0.32,0.632,2.21
Nick Fortes,C,245,0.974,0.522,0.661,0.374,0.425,1.142,0.302,0.6285714285714284,2.19
Joey Wendle*,SS,247,0.769,0.0,0.407,0.624,0.122,1.173,1.222,0.6167142857142858,2.15
Jose Barrero,SS,133,0.051,0.131,0.458,0.374,0.365,1.256,1.677,0.6159999999999999,2.15
Josh H. Smith*,SS,146,0.513,0.391,0.0,0.125,0.547,1.019,1.655,0.6071428571428571,2.12
Santiago Espinal,2B,179,0.667,0.261,0.559,0.249,0.607,1.111,0.689,0.5918571428571429,2.07
Aledmys Díaz,SS,264,0.41,0.391,0.712,0.125,0.425,0.937,1.127,0.5895714285714285,2.06
Matt Duffy,3B,165,0.154,0.13,0.0,0.125,0.364,2.202,1.14,0.5878571428571429,2.05
Trey Mancini,1B,235,0.821,0.13,0.763,0.0,0.85,0.916,0.605,0.5835714285714285,2.04
Nick Ahmed,SS,183,0.0,0.131,0.458,0.624,0.061,1.194,1.447,0.5592857142857143,1.95
Willie Calhoun*,DH,134,0.359,0.522,0.051,0.0,0.486,1.266,1.195,0.5541428571428572,1.93
Eric Haase,C,264,0.769,0.391,0.915,0.374,0.607,0.751,0.031,0.5482857142857143,1.91
Eric Haase,C,268,0.769,0.391,0.915,0.374,0.607,0.751,0.0,0.5438571428571428,1.9
Nicky Lopez*,2B,160,0.308,0.0,0.305,0.499,0.911,1.091,0.689,0.5432857142857143,1.9
Gabriel Arias,1B,220,0.411,0.652,0.153,0.249,1.153,0.381,0.799,0.5425714285714285,1.89
Jose Trevino,C,157,0.41,0.391,0.356,0.0,0.122,1.472,0.892,0.5204285714285714,1.82
Nelson Cruz,DH,143,0.0,0.522,0.407,0.125,0.0,1.338,1.159,0.5072857142857143,1.77
Matt Carpenter*,DH,171,0.308,0.391,0.661,0.125,1.639,0.0,0.402,0.5037142857142858,1.76
Miguel Cabrera,DH,247,0.308,0.131,0.305,0.0,1.154,1.317,0.307,0.5031428571428571,1.76
Jose Miranda,3B,142,0.0,0.391,0.051,0.0,0.242,1.564,1.172,0.48857142857142855,1.71
Seby Zavala,C,161,0.41,0.782,0.407,0.125,0.243,0.545,0.816,0.4754285714285714,1.66
Casey Schmitt,SS,209,0.41,0.131,0.865,0.249,0.122,0.515,0.911,0.4575714285714286,1.6
Jacob Stallings,C,171,0.41,0.131,0.305,0.0,0.971,0.906,0.401,0.44628571428571423,1.56
Elehuris Montero,1B,183,0.205,0.261,0.661,0.0,0.0,0.731,1.096,0.42200000000000004,1.47
Nick Allen,SS,210,0.256,0.261,0.152,0.499,0.243,0.484,0.708,0.37185714285714283,1.3
Jesse Winker*,DH,166,0.359,0.0,0.407,0.0,1.214,0.535,0.0,0.3592857142857143,1.25
Jonathan Schoop,2B,136,0.103,0.0,0.0,0.0,0.425,1.193,0.784,0.3578571428571428,1.25
Kody Clemens*,1B,139,0.0,0.13,0.0,0.0,0.061,1.04,1.168,0.3427142857142857,1.2
Austin Hedges,C,161,0.307,0.0,0.305,0.125,0.304,0.957,0.275,0.3247142857142857,1.13
Austin Hedges,C,166,0.307,0.0,0.305,0.125,0.304,0.823,0.18,0.292,1.02
Kolten Wong*,2B,194,0.411,0.261,0.61,0.125,0.607,0.0,0.0,0.28771428571428576,1.0
AJ Pollock,DH,133,0.308,0.522,0.0,0.0,0.182,0.267,0.627,0.2722857142857143,0.95
Austin Nola,C,130,0.102,0.0,0.0,0.0,0.729,0.731,0.324,0.2694285714285714,0.94
Austin Barnes,C,135,0.0,0.0,0.0,0.249,0.304,0.916,0.32,0.25557142857142856,0.89
Austin Slater,H,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
